timestamp,minute_of_day,pv_power_kw,battery_soc_kwh,battery_soc_pct,battery_charge_kw,battery_discharge_kw,pv_to_load_kw,pv_to_battery_kw,pv_wasted_kw,grid_to_load_kw,bedroom_kw,hall_kw,kitchen_kw,washing_machine_kw,motor_pump_kw,geyser_kw,bedroom_source,hall_source,kitchen_source,washing_machine_source,motor_pump_source,geyser_source
2025-12-06 01:24:00,84,0.0,1.866,46.6,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 01:25:00,85,0.0,1.864,46.6,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 01:26:00,86,0.0,1.863,46.6,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 01:27:00,87,0.0,1.861,46.5,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 01:28:00,88,0.0,1.859,46.5,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 01:29:00,89,0.0,1.858,46.4,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 01:30:00,90,0.0,1.856,46.4,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 01:31:00,91,0.0,1.855,46.4,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 01:32:00,92,0.0,1.853,46.3,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 01:33:00,93,0.0,1.852,46.3,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 01:34:00,94,0.0,1.85,46.2,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 01:35:00,95,0.0,1.848,46.2,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
